t,innovation,mse,firing_rate,kalman_innovation,kalman_mse
0.070000,1.014308e-04,2.750987e-04,0.000000e+00,1.618477e-04,2.358132e-02
0.071000,1.493119e-03,4.114854e-04,0.000000e+00,1.653767e-03,1.276795e-02
0.072000,1.433323e-04,3.194999e-04,0.000000e+00,1.506052e-04,1.530609e-02
0.073000,4.227436e-05,3.637196e-04,0.000000e+00,4.945359e-05,1.370367e-02
0.074000,7.454949e-04,3.001916e-04,0.000000e+00,7.336649e-04,2.074101e-02
0.075000,5.517667e-05,3.348513e-04,0.000000e+00,3.035853e-05,2.259554e-02
0.076000,1.160672e-03,4.007368e-04,0.000000e+00,1.327648e-03,1.352500e-02
0.077000,1.281182e-06,3.183208e-04,0.000000e+00,5.675479e-07,1.319623e-02
0.078000,1.130417e-04,3.093971e-04,0.000000e+00,1.022868e-04,1.542902e-02
0.079000,9.168198e-03,2.507971e-04,0.000000e+00,9.398608e-03,1.073118e-03
0.080000,4.707101e-03,2.197821e-04,0.000000e+00,4.145980e-03,7.586517e-04
0.081000,4.645464e-04,1.621751e-04,0.000000e+00,8.641428e-04,3.344807e-05
0.082000,3.340826e-03,2.059892e-04,0.000000e+00,4.100357e-03,2.945220e-03
0.083000,3.497878e-04,2.031366e-04,0.000000e+00,4.571980e-04,5.269252e-03
0.084000,2.806024e-04,2.291298e-04,0.000000e+00,2.339661e-04,3.702817e-03
0.085000,7.556426e-05,2.547260e-04,0.000000e+00,4.166768e-05,3.180856e-03
0.086000,9.283173e-03,3.014401e-04,0.000000e+00,9.779963e-03,1.900410e-02
0.087000,1.665374e-05,4.116757e-04,0.000000e+00,4.821897e-05,1.823351e-02
0.088000,1.126409e-03,4.647879e-04,0.000000e+00,1.308352e-03,1.168739e-02
0.089000,5.049615e-04,4.138126e-04,0.000000e+00,5.409105e-04,7.955361e-03
0.090000,6.967748e-07,4.215686e-04,0.000000e+00,1.440197e-06,8.061253e-03
0.091000,7.128722e-04,4.158961e-04,0.000000e+00,7.253595e-04,1.180927e-02
0.092000,2.331361e-03,3.084642e-04,0.000000e+00,2.211877e-03,1.951943e-02
0.093000,6.761695e-04,3.883518e-04,0.000000e+00,4.928903e-04,2.495674e-02
0.094000,7.104108e-05,4.713823e-04,0.000000e+00,1.824781e-04,2.286765e-02
0.095000,4.030309e-04,3.952145e-04,0.000000e+00,2.419306e-04,2.556572e-02
0.096000,3.698938e-05,4.890253e-04,0.000000e+00,3.981591e-07,2.633024e-02
0.097000,1.738975e-04,4.364411e-04,0.000000e+00,5.719848e-05,2.753326e-02
0.098000,7.040293e-04,4.882897e-04,0.000000e+00,4.155021e-04,3.242513e-02
0.099000,3.257432e-04,5.839630e-04,0.000000e+00,1.149655e-04,3.570165e-02
0.100000,3.210685e-03,7.178704e-04,0.000000e+00,2.365661e-03,4.962838e-02
0.101000,1.149342e-04,7.778646e-04,0.000000e+00,4.555746e-04,4.444213e-02
0.102000,1.622265e-09,6.595162e-04,0.000000e+00,9.445674e-05,4.099084e-02
0.103000,1.277141e-03,5.712969e-04,0.000000e+00,6.903658e-04,4.672855e-02
0.104000,2.428468e-03,6.381865e-04,0.000000e+00,1.470351e-03,5.747176e-02
0.105000,1.565429e-03,5.609194e-04,0.000000e+00,2.763900e-03,4.294395e-02
0.106000,1.984537e-07,4.549568e-04,0.000000e+00,1.233436e-04,3.952822e-02
0.107000,6.606385e-04,4.396322e-04,0.000000e+00,1.296756e-03,3.176481e-02
0.108000,1.108240e-05,5.597304e-04,0.000000e+00,2.936351e-05,3.139398e-02
0.109000,8.252918e-04,5.784360e-04,0.000000e+00,1.396844e-03,2.457867e-02
0.110000,1.724888e-03,5.205838e-04,0.000000e+00,2.356675e-03,1.683435e-02
0.111000,2.807505e-04,6.462671e-04,0.000000e+00,4.662092e-04,1.456617e-02
0.112000,1.903452e-03,7.417086e-04,0.000000e+00,1.576682e-03,2.060207e-02
0.113000,4.221179e-03,8.247859e-04,0.000000e+00,5.021814e-03,1.176822e-02
0.114000,2.437362e-03,7.718572e-04,0.000000e+00,2.709149e-03,6.683052e-03
0.115000,1.443899e-02,7.590959e-04,0.000000e+00,1.436128e-02,2.028391e-02
0.116000,3.005112e-04,7.011854e-04,0.000000e+00,1.292150e-04,2.157836e-02
0.117000,1.853375e-04,8.322164e-04,0.000000e+00,4.090696e-04,1.933920e-02
0.118000,1.696363e-06,8.400374e-04,0.000000e+00,5.040418e-05,1.840143e-02
0.119000,9.918272e-04,8.461305e-04,0.000000e+00,1.374524e-03,1.399058e-02
0.120000,7.366782e-04,9.153444e-04,0.000000e+00,5.361334e-04,1.718805e-02
0.121000,1.129681e-04,7.733804e-04,0.000000e+00,3.016752e-05,1.710700e-02
0.122000,7.527636e-04,7.153072e-04,0.000000e+00,1.083985e-03,1.304279e-02
0.123000,6.996331e-03,6.812370e-04,0.000000e+00,7.698429e-03,5.513736e-03
0.124000,4.498259e-03,6.282441e-04,0.000000e+00,4.527430e-03,1.885015e-03
0.125000,4.856004e-04,5.352282e-04,0.000000e+00,6.151785e-04,2.730805e-03
0.126000,8.356143e-03,4.789329e-04,0.000000e+00,8.657663e-03,8.350253e-03
0.127000,3.144911e-06,4.017900e-04,0.000000e+00,6.155755e-07,7.939025e-03
