t,innovation,mse,firing_rate,kalman_innovation,kalman_mse
0.000000,2.976885e-03,1.077644e-06,0.000000e+00,2.976885e-03,3.022917e-03
0.001000,2.176747e-05,1.454380e-06,0.000000e+00,2.475984e-03,1.021829e-03
0.002000,2.567269e-05,2.852076e-06,0.000000e+00,1.198245e-03,9.503804e-04
0.003000,5.514664e-03,1.761369e-06,0.000000e+00,3.169436e-03,1.221255e-03
0.004000,4.071236e-04,5.068221e-06,0.000000e+00,2.736926e-03,1.561279e-03
0.005000,2.695601e-03,3.338827e-06,0.000000e+00,9.251451e-04,8.074620e-04
0.006000,2.339861e-03,1.707627e-05,0.000000e+00,4.701103e-04,1.605766e-03
0.007000,3.192196e-04,1.575563e-05,0.000000e+00,2.284252e-03,2.452793e-03
0.008000,3.594173e-05,1.668417e-05,0.000000e+00,3.092808e-04,5.622203e-03
0.009000,1.200036e-03,1.296865e-05,0.000000e+00,3.141431e-03,2.752339e-02
0.010000,3.471604e-04,1.638673e-05,0.000000e+00,1.285069e-05,2.424777e-02
0.011000,7.596595e-06,3.879069e-05,0.000000e+00,1.563321e-04,3.195031e-02
0.012000,1.714071e-03,4.385419e-05,0.000000e+00,3.052734e-03,8.993742e-02
0.013000,1.013206e-02,1.984589e-05,0.000000e+00,1.188579e-02,3.111180e-01
0.014000,1.497489e-03,1.939538e-05,0.000000e+00,1.661813e-03,2.093203e-01
0.015000,1.004483e-03,1.641618e-05,0.000000e+00,9.383290e-04,1.428650e-01
0.016000,3.143609e-04,2.804415e-05,0.000000e+00,4.431747e-04,1.878158e-01
0.017000,4.522857e-03,4.263239e-05,0.000000e+00,4.671396e-03,3.875277e-01
0.018000,1.961625e-03,3.809267e-05,0.000000e+00,1.522499e-03,5.404583e-01
0.019000,3.183490e-03,3.696402e-05,0.000000e+00,2.224175e-03,7.617115e-01
0.020000,2.184514e-03,2.389418e-05,0.000000e+00,3.694914e-03,4.819628e-01
0.021000,7.604943e-04,1.536235e-05,0.000000e+00,1.391425e-03,3.399628e-01
0.022000,3.024437e-03,2.420075e-05,0.000000e+00,3.872553e-03,1.559252e-01
0.023000,7.949889e-04,2.374675e-05,0.000000e+00,9.425393e-04,8.988947e-02
0.024000,4.868250e-04,2.278774e-05,0.000000e+00,4.745716e-04,1.349793e-01
0.025000,3.496315e-03,3.593291e-05,0.000000e+00,3.791097e-03,3.126992e-02
0.026000,4.752734e-04,3.751139e-05,0.000000e+00,3.745768e-04,1.376080e-02
0.027000,1.062731e-02,1.460939e-05,0.000000e+00,1.145045e-02,1.957823e-01
0.028000,3.724275e-03,4.070657e-05,0.000000e+00,4.403333e-03,5.892259e-02
0.029000,2.279250e-05,2.140556e-05,0.000000e+00,2.162546e-05,6.607769e-02
0.030000,3.662108e-04,3.569516e-05,0.000000e+00,3.961082e-04,3.894513e-02
0.031000,2.073477e-06,7.544100e-05,0.000000e+00,4.415130e-06,4.189708e-02
0.032000,1.791675e-03,9.769745e-05,0.000000e+00,1.815560e-03,1.047439e-01
0.033000,3.665284e-03,8.290626e-05,0.000000e+00,3.252051e-03,2.341185e-01
0.034000,9.694962e-03,5.369957e-05,0.000000e+00,8.071115e-03,5.301321e-01
0.035000,2.339185e-04,5.653223e-05,0.000000e+00,1.017444e-03,4.162276e-01
0.036000,8.420862e-03,3.451764e-05,0.000000e+00,5.940991e-03,7.175263e-01
0.037000,4.003452e-04,5.234894e-05,0.000000e+00,2.816864e-06,7.078995e-01
0.038000,6.797585e-03,6.070545e-05,0.000000e+00,1.099199e-02,3.355250e-01
