t,innovation,mse,firing_rate,kalman_innovation,kalman_mse
0.000000,2.976885e-03,1.802308e-05,1.093750e+02,2.976885e-03,3.022917e-03
0.001000,2.281467e-05,1.097097e-05,0.000000e+00,2.475984e-03,1.021829e-03
0.002000,2.456219e-05,1.763196e-05,0.000000e+00,1.198245e-03,9.503804e-04
0.003000,5.531116e-03,1.254928e-05,0.000000e+00,3.169436e-03,1.221255e-03
0.004000,4.026736e-04,2.077642e-05,0.000000e+00,2.736926e-03,1.561279e-03
0.005000,2.707084e-03,1.460664e-05,0.000000e+00,9.251451e-04,8.074620e-04
0.006000,2.350550e-03,4.903971e-05,0.000000e+00,4.701103e-04,1.605766e-03
0.007000,3.152924e-04,3.544013e-05,0.000000e+00,2.284252e-03,2.452793e-03
0.008000,3.727439e-05,4.816240e-05,0.000000e+00,3.092808e-04,5.622203e-03
0.009000,1.192425e-03,2.900738e-05,0.000000e+00,3.141431e-03,2.752339e-02
0.010000,3.512683e-04,7.351475e-06,0.000000e+00,1.285069e-05,2.424777e-02
0.011000,8.213930e-06,1.257931e-05,0.000000e+00,1.563321e-04,3.195031e-02
0.012000,1.705000e-03,1.409016e-05,0.000000e+00,3.052734e-03,8.993742e-02
0.013000,1.011001e-02,6.871924e-06,0.000000e+00,1.188579e-02,3.111180e-01
0.014000,1.505974e-03,1.399658e-05,0.000000e+00,1.661813e-03,2.093203e-01
0.015000,1.011427e-03,5.676018e-06,0.000000e+00,9.383290e-04,1.428650e-01
0.016000,3.104985e-04,6.681590e-06,0.000000e+00,4.431747e-04,1.878158e-01
0.017000,4.508188e-03,1.297973e-05,0.000000e+00,4.671396e-03,3.875277e-01
0.018000,1.951978e-03,9.118872e-06,0.000000e+00,1.522499e-03,5.404583e-01
0.019000,3.171210e-03,9.123422e-06,0.000000e+00,2.224175e-03,7.617115e-01
0.020000,2.194698e-03,4.597403e-06,0.000000e+00,3.694914e-03,4.819628e-01
0.021000,7.665021e-04,3.738261e-06,0.000000e+00,1.391425e-03,3.399628e-01
0.022000,3.036394e-03,1.389541e-05,0.000000e+00,3.872553e-03,1.559252e-01
0.023000,8.011187e-04,7.943076e-06,0.000000e+00,9.425393e-04,8.988947e-02
0.024000,4.820539e-04,1.128060e-05,0.000000e+00,4.745716e-04,1.349793e-01
0.025000,3.509131e-03,1.061444e-05,0.000000e+00,3.791097e-03,3.126992e-02
0.026000,4.800014e-04,9.835646e-06,0.000000e+00,3.745768e-04,1.376080e-02
0.027000,1.060505e-02,2.276418e-06,0.000000e+00,1.145045e-02,1.957823e-01
0.028000,3.737462e-03,1.442060e-05,0.000000e+00,4.403333e-03,5.892259e-02
0.029000,2.177440e-05,3.523616e-06,0.000000e+00,2.162546e-05,6.607769e-02
0.030000,3.703458e-04,8.302491e-06,0.000000e+00,3.961082e-04,3.894513e-02
0.031000,1.775100e-06,4.204326e-05,0.000000e+00,4.415130e-06,4.189708e-02
0.032000,1.782584e-03,5.562993e-05,0.000000e+00,1.815560e-03,1.047439e-01
0.033000,3.652289e-03,5.341650e-05,0.000000e+00,3.252051e-03,2.341185e-01
0.034000,9.673842e-03,3.152536e-05,0.000000e+00,8.071115e-03,5.301321e-01
0.035000,2.372091e-04,4.291178e-05,0.000000e+00,1.017444e-03,4.162276e-01
0.036000,8.401219e-03,3.377809e-05,0.000000e+00,5.940991e-03,7.175263e-01
0.037000,3.960754e-04,3.936146e-05,0.000000e+00,2.816864e-06,7.078995e-01
0.038000,6.815220e-03,3.756214e-05,0.000000e+00,1.099199e-02,3.355250e-01
0.039000,1.058676e-03,1.606038e-05,0.000000e+00,2.222208e-03,2.161750e-01
0.040000,1.173819e-03,8.807574e-06,0.000000e+00,5.236114e-04,2.677155e-01
0.041000,3.983129e-03,7.811802e-06,0.000000e+00,2.443673e-03,3.966045e-01
0.042000,6.884265e-04,8.846919e-06,0.000000e+00,6.577209e-05,4.197782e-01
0.043000,3.752649e-04,1.191876e-05,0.000000e+00,9.236597e-10,4.191027e-01
0.044000,3.269691e-04,1.136581e-05,0.000000e+00,1.454312e-03,3.202869e-01
0.045000,3.217917e-03,3.635639e-06,0.000000e+00,1.518956e-03,4.207534e-01
0.046000,4.474672e-03,9.946933e-06,0.000000e+00,7.780869e-03,2.192825e-01
0.047000,2.729854e-03,1.532352e-05,0.000000e+00,1.368117e-03,2.951380e-01
0.048000,1.892143e-03,7.678887e-06,0.000000e+00,3.846493e-03,1.790377e-01
0.049000,4.343436e-04,6.885228e-06,0.000000e+00,1.244601e-03,1.277102e-01
0.050000,2.908993e-04,3.735000e-05,0.000000e+00,8.592022e-04,9.321097e-02
0.051000,4.211332e-03,1.393270e-05,0.000000e+00,2.962023e-03,1.615744e-01
0.052000,4.029654e-02,1.875815e-05,0.000000e+00,4.642627e-02,8.061910e-04
0.053000,6.914673e-03,1.371006e-05,0.000000e+00,6.973900e-03,2.842555e-02
0.054000,1.687217e-03,2.010857e-05,0.000000e+00,2.180589e-03,8.373954e-03
0.055000,6.202707e-04,3.871962e-05,0.000000e+00,7.510403e-04,2.394775e-03
0.056000,2.028301e-03,1.663255e-05,0.000000e+00,2.090062e-03,5.568838e-04
0.057000,1.528337e-03,1.490214e-05,0.000000e+00,1.344103e-03,6.358764e-03
0.058000,2.001908e-04,1.918579e-05,1.562500e+01,8.433199e-05,8.183037e-03
0.059000,2.445451e-04,3.296054e-05,0.000000e+00,4.540563e-04,3.293032e-03
0.060000,7.206398e-03,2.253369e-05,0.000000e+00,6.490415e-03,2.976775e-02
0.061000,1.790668e-04,8.555913e-06,0.000000e+00,5.353922e-04,2.027328e-02
0.062000,1.190412e-03,5.167139e-06,0.000000e+00,1.840803e-03,7.239964e-03
0.063000,2.004131e-05,1.054901e-05,0.000000e+00,1.042919e-04,5.056458e-03
0.064000,3.765723e-03,1.586290e-05,0.000000e+00,4.425212e-03,2.247713e-04
0.065000,7.904907e-03,1.954709e-05,0.000000e+00,8.074772e-03,1.564414e-02
