t,innovation,mse,firing_rate,kalman_innovation,kalman_mse
0.070000,4.853979e-04,3.006771e-05,0.000000e+00,1.248684e-03,4.845430e-02
0.071000,1.632273e-04,7.774854e-06,0.000000e+00,5.848258e-04,3.690235e-02
0.072000,3.879282e-03,2.849171e-05,0.000000e+00,5.248531e-03,1.297451e-02
0.073000,3.926887e-05,6.227022e-05,0.000000e+00,6.891435e-08,1.320811e-02
0.074000,1.191921e-03,3.591569e-05,0.000000e+00,8.058929e-04,2.057952e-02
0.075000,2.254576e-06,6.191833e-05,0.000000e+00,8.898115e-05,1.801302e-02
0.076000,1.146372e-03,4.332270e-05,0.000000e+00,6.935027e-04,2.555384e-02
0.077000,1.850525e-04,5.633777e-05,0.000000e+00,1.944642e-05,2.677962e-02
0.078000,6.315386e-04,8.976820e-05,0.000000e+00,1.206947e-03,1.710159e-02
0.079000,9.127592e-04,1.637787e-04,0.000000e+00,1.443693e-03,8.964159e-03
0.080000,4.291855e-05,1.935832e-04,0.000000e+00,1.514122e-04,7.137340e-03
0.081000,1.574581e-04,1.332050e-04,0.000000e+00,5.463839e-05,8.244822e-03
0.082000,1.983144e-03,9.596408e-05,0.000000e+00,1.511168e-03,1.524295e-02
0.083000,1.573135e-04,1.213398e-04,0.000000e+00,4.187095e-04,1.100459e-02
0.084000,2.201118e-03,7.699540e-05,0.000000e+00,2.897757e-03,3.744884e-03
0.085000,5.700196e-04,4.690053e-05,0.000000e+00,7.806272e-04,1.465318e-03
0.086000,3.696331e-03,3.912652e-05,0.000000e+00,3.386544e-03,7.431710e-03
0.087000,9.171186e-05,6.483303e-05,0.000000e+00,1.423452e-05,8.051261e-03
0.088000,2.637043e-03,6.364334e-05,0.000000e+00,3.300328e-03,2.164515e-03
0.089000,6.277153e-04,5.330902e-05,0.000000e+00,4.815273e-04,4.179155e-03
0.090000,6.165252e-05,9.623700e-05,0.000000e+00,1.483077e-04,3.241539e-03
0.091000,1.581128e-04,1.353012e-04,1.562500e+01,2.663529e-04,1.998948e-03
0.092000,8.360253e-03,1.892412e-04,0.000000e+00,8.931571e-03,6.958193e-04
0.093000,6.612951e-03,2.051898e-04,0.000000e+00,6.319398e-03,6.228238e-03
0.094000,1.863723e-07,1.858287e-04,0.000000e+00,4.114373e-05,6.098514e-03
0.095000,7.241504e-04,1.534378e-04,0.000000e+00,1.065595e-03,3.155423e-03
0.096000,1.676588e-06,2.129630e-04,0.000000e+00,8.060616e-06,2.913985e-03
0.097000,2.273848e-03,2.154298e-04,0.000000e+00,1.904512e-03,6.743088e-03
0.098000,1.846662e-02,2.359034e-04,0.000000e+00,1.679021e-02,2.732536e-02
0.099000,3.740913e-03,2.898182e-04,0.000000e+00,5.492069e-03,1.405654e-02
0.100000,9.513931e-04,2.013245e-04,0.000000e+00,1.618634e-03,8.688811e-03
0.101000,9.464735e-03,1.718714e-04,0.000000e+00,8.062510e-03,2.186877e-02
0.102000,8.031337e-04,2.023006e-04,0.000000e+00,2.651590e-04,2.405216e-02
0.103000,9.548658e-05,2.163132e-04,0.000000e+00,1.049790e-05,2.276814e-02
0.104000,2.783262e-04,1.652710e-04,0.000000e+00,8.818106e-04,1.790484e-02
0.105000,1.889517e-07,9.999195e-05,0.000000e+00,1.272477e-04,1.689029e-02
0.106000,1.113829e-03,7.387590e-05,0.000000e+00,4.870279e-04,2.036161e-02
0.107000,1.171572e-03,8.066704e-05,0.000000e+00,4.716766e-04,2.376126e-02
0.108000,1.594117e-06,1.565995e-04,0.000000e+00,1.548294e-04,2.059064e-02
0.109000,4.090125e-03,1.904517e-04,0.000000e+00,5.962969e-03,1.011483e-02
0.110000,3.459637e-03,2.246086e-04,0.000000e+00,4.697841e-03,3.906921e-03
0.111000,6.910107e-04,1.755380e-04,0.000000e+00,3.889395e-04,5.559277e-03
0.112000,1.693138e-03,1.800100e-04,0.000000e+00,1.127262e-03,8.322307e-03
